epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1408.89,1.28183,2.08174,1.09992,0.87532,0.83119,0.89962,0.586,1.14167,1.29849,1.03946,0.000664303,0.000664303,0.000664303
1,1046.85,1.25908,2.19906,1.12081,0.8324,0.79053,0.85047,0.5645,1.10913,1.72781,1.0949,0.000664303,0.000664303,0.000664303
2,2059.71,1.15997,1.13484,1.09075,0.82409,0.79235,0.88108,0.60252,1.08538,0.99122,1.04517,0.00106744,0.00106744,0.00106744
3,3071.57,1.11678,0.87449,1.08522,0.88954,0.85077,0.9177,0.65021,1.03453,0.81071,1.03288,0.00120657,0.00120657,0.00120657
4,4083.57,1.03234,0.74111,1.03141,0.913,0.91759,0.95349,0.69886,0.95196,0.67223,0.98445,0.000812,0.000812,0.000812
5,5111.49,0.9637,0.64168,1.00596,0.93704,0.92172,0.96161,0.71362,0.92821,0.61055,0.968,0.000416,0.000416,0.000416
